link,result,skill_bracket,lobby_type,game_mode,region,duration,match_date,hero,final_lvl,k,d,a,net,lh,dn,gpm,xpm,dmg,heal,bld,wards,final_items,team_k,team_d,team_a,team_net,team_lh,team_dn,team_gpm,team_xpm,team_dmg,team_heal,team_bld,team_wards
/matches/5411779904,won,Normal Skill,Normal,Turbo,SE Asia,24:54:00,12/5/2020,Sniper,28,5,4,12,23.0k,125,19,940,1.4k,29.0k,-,959,0,"Crystalys,Moon Shard,Boots of Travel,Power Treads,Mjollnir,Monkey King Bar,Orb of Destruction",44,22,53,112.6k,460,35,4.7k,7.6k,124.5k,539,13.8k,0
/matches/5411531857,won,Normal Skill,Normal,Turbo,SE Asia,25:52:00,12/5/2020,Sniper,27,9,8,16,21.2k,75,17,862,1.5k,32.2k,-,3.8k,1-Feb,"Wraith Band,Power Treads,Mjollnir,Daedalus,Black King Bar,Imp Claw",31,33,76,84.7k,383,28,3.7k,6.8k,114.5k,10.1k,13.0k,Oct-17
/matches/5410917147,lost,Normal Skill,Ranked,All Pick,SE Asia,45:04:00,12/5/2020,Slardar,18,2,10,9,8.9k,99,4,268,358,5.1k,-,28,0,"Force Staff,Power Treads,Quelling Blade,Sentry Ward,Blink Dagger,Pupil's Gift,Dust of Appearance",27,45,39,65.8k,988,41,1.9k,2.5k,112.6k,2.4k,10.6k,0
/matches/5410674269,won,Normal Skill,Ranked,All Pick,SE Asia,54:45:00,12/5/2020,Dazzle,22,-,19,11,6.4k,30,9,201,427,6.6k,3.5k,20,0,"Arcane Boots,Magic Stick,Wind Lace,Dust of Appearance,Observer and Sentry Wards,Glimmer Cape,Essence Ring",30,46,57,88.8k,1.3k,42,2.0k,2.8k,129.9k,3.9k,15.3k,0
/matches/5410621006,won,Normal Skill,Ranked,All Pick,SE Asia,33:14:00,12/5/2020,Sniper,22,4,2,23,15.9k,194,8,499,659,23.3k,400,5.7k,0,"Power Treads,Wraith Band,Maelstrom,Dragon Lance,Silver Edge,Repair Kit",41,15,92,71.0k,633,58,2.3k,3.0k,98.9k,4.3k,21.7k,0
/matches/5409936859,lost,Normal Skill,Ranked,All Pick,SE Asia,39:22:00,11/5/2020,Sniper,16,5,10,6,9.0k,141,4,295,338,23.8k,-,179,0,"Maelstrom,Wraith Band,Dragon Lance,Power Treads,Yasha,Grove Bow",15,42,32,44.5k,710,23,1.4k,1.9k,110.3k,-,355,0
/matches/5409852881,lost,Normal Skill,Normal,Turbo,SE Asia,42:43:00,11/5/2020,Sven,26,4,8,9,22.9k,200,1,703,973,33.0k,-,4.6k,0,"Monkey King Bar,Satanic,Black King Bar,Boots of Travel,Aghanim's Scepter,Minotaur Horn",30,43,68,118.6k,688,10,3.5k,5.4k,197.7k,7.6k,15.7k,0
/matches/5414482104,lost,Normal Skill,Normal,Turbo,SE Asia,23:43,2020-05-14,Sven,23,2,6,3,10.9k,95,4,509,1.1k,10.5k,-,-,-/-,"Bracer,Mask of Madness,Ogre Axe,Echo Sabre,Power Treads,Blink Dagger,Vampire Fangs,Tango",14,26,24,52.1k,327,26,2.4k,5.9k,62.4k,-,279,10/8
/matches/5409784183,lost,Normal Skill,Normal,Turbo,SE Asia,30:31,2020-05-11,Wraith King,30,8,6,16,24.8k,123,-,804,1.5k,24.7k,2.2k,3.1k,-/-,"Power Treads,Blink Dagger,Desolator,Echo Sabre,Black King Bar,Abyssal Blade,Paladin Sword,Quelling Blade",34,42,71,92.0k,390,18,3.2k,6.5k,120.0k,6.4k,8.6k,13/11
/matches/5409190187,lost,Normal Skill,Normal,Turbo,SE Asia,32:36,2020-05-11,Juggernaut,28,7,3,6,23.9k,223,8,894,1.3k,14.8k,611,3.6k,0,"Battle Fury,Butterfly,Abyssal Blade,Phase Boots,Paladin Sword",20,19,35,88.3k,654,21,3.2k,5.7k,70.8k,6.1k,6.5k,0
